name,year,magnitude,focal_depth,damage
"GREECE:  EDHESSA, KILKIS",1990,5.9,13.0,60.0
"COSTA RICA:  ALAJUELA, SANTIAGO DE PURISCAL",1990,5.7,17.0,350.0
"AFGHANISTAN:  BADAKHSTAN, BAGHLAN, LAGHMAN, NAGARHAR",1991,6.4,142.0,200.0
CHINA:  S XINJIANG:  KALPIN,1991,6.1,21.0,3.0
"CHINA:  NE, DATONG",1991,5.5,10.0,131.0
"PERU:  RIOJA, NEUVA CAJAMARCA",1991,6.4,21.0,10.0
"PERU:  RIOJA, MOYOBAMBA, NUEVA CAJAMARCA",1991,6.7,20.0,252.0
TURKEY:  ERZURUM PROVINCE,1991,4.5,33.0,3.0
"PANAMA:  CHANGUINOLA, ALMIRANTE, BOCAS DEL TORO",1991,6.2,10.0,36.0
"GEORGIA:  DZHAVA, TSKHINVALI, OSSETIA",1991,6.1,9.0,200.0
"CALIFORNIA:  ARCADIA, GLENDALE, LOS ANGELES",1991,5.1,11.0,104.0
"INDONESIA:  TIMOR:  KALABAHI, DILI",1991,6.5,29.0,181.0
"ROMANIA:  BANLOC, DETA, TIMISOARA",1991,5.6,11.0,30.0
"PERU:  MACA, CHIVAY, YANQUE",1991,4.7,5.0,30.0
"GUATEMALA:  GUATEMALA CITY, PACHUTA, SOLOLA",1991,6.2,5.0,200.0
"INDIA:  CHAMOLI, UTTARKASHI, NEW DELHI, CHANDIGARH",1991,7.0,10.0,1800.0
IRAN:  BEHBAHAN,1991,5.4,39.0,51.0
